portuguese,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Present
abjeto,0,1,1,0,1,0,0,0,0,0,1
ablação,0,0,0,0,0,0,0,0,0,0,0
abóbada,0,0,0,0,0,0,0,0,0,0,0
abobadado,0,0,0,0,0,0,0,0,0,0,0
abolição,0,1,0,0,0,0,0,0,0,0,1
abolir,0,1,1,0,0,0,0,0,0,0,1
abominação,0,1,1,0,1,1,0,0,0,0,1
abominar,0,1,1,0,1,1,0,0,0,0,1
abominável,0,1,0,0,1,1,0,0,0,0,1
abono,0,0,0,0,0,0,0,0,0,0,0
abordagem,0,0,0,0,0,0,0,0,0,0,0
abordando,0,0,0,0,0,0,0,0,0,0,0
aborígene,0,0,0,0,0,0,0,0,0,0,0
aborrecer,0,1,1,0,1,0,0,0,0,0,1
aborrecido,0,1,0,0,0,0,0,1,0,0,1
aborrecimento,0,1,0,0,0,0,0,0,0,0,1
abortar,0,1,0,0,0,0,0,0,0,0,1
abortivo,0,1,0,0,0,0,0,1,0,0,1
aborto,0,1,0,0,1,1,0,1,0,0,1
aborto espontâneo,0,1,0,0,0,1,0,1,0,0,1
abraço,1,0,0,0,0,0,1,0,0,1,1
abranger,1,0,0,1,0,0,1,0,1,1,1
abrasão,0,1,0,0,0,0,0,0,0,0,1
abreviação,0,0,0,0,0,0,0,0,0,0,0
abreviar,0,0,0,0,0,0,0,0,0,0,0
abridor,0,0,0,0,0,0,0,0,0,0,0
abrigo,1,0,0,0,0,0,0,0,0,1,1
abruptamente,0,0,0,0,0,0,0,0,0,0,0
abrupto,0,0,0,0,0,0,0,0,1,0,1
abscesso,0,1,0,0,0,0,0,1,0,0,1
absentismo,0,1,0,0,0,0,0,0,0,0,1
absinto,0,0,0,0,0,0,0,0,0,0,0
absoluto,1,0,0,0,0,0,0,0,0,0,1
absolvição,1,0,0,0,0,0,1,0,0,1,1
absorção,0,0,0,0,0,0,0,0,0,0,0
absorto,0,0,0,0,0,0,0,0,0,0,0
absorvendo,0,0,0,0,0,0,0,0,0,0,0
absorvente,0,0,0,0,0,0,0,0,0,0,0
absorver,0,1,0,0,0,0,0,0,0,0,1
absorvido,1,0,0,0,0,0,0,0,0,0,1
abstenção,0,0,0,0,0,0,0,0,0,0,0
abster-se,0,0,0,0,0,0,0,0,0,0,0
abstinência,0,0,0,0,0,0,0,0,0,0,0
abstração,0,0,0,0,0,0,0,0,0,0,0
abstrato,0,0,0,0,0,0,0,0,0,0,0
absurdo,0,1,0,0,0,0,0,0,0,0,1
abundam,0,0,0,0,0,0,0,0,0,0,0
abundância,1,1,0,1,1,0,1,0,0,1,1
abundante,1,0,0,0,0,0,1,0,0,0,1
abuso,0,1,1,0,1,1,0,1,0,0,1
abutre,0,1,0,0,1,1,0,0,0,0,1
academia,1,0,0,0,0,0,0,0,0,0,1
acadêmico,1,0,0,0,0,0,0,0,0,1,1
açafrão,0,0,0,0,0,0,0,0,0,0,0
acalmar,1,0,0,0,0,0,0,0,0,0,1
acampamento,0,0,0,0,0,0,0,0,0,0,0
ação,1,0,0,0,0,0,0,0,0,0,1
ação de graças,1,0,0,0,0,0,1,0,0,0,1
ação judicial,0,1,1,0,1,1,0,1,1,0,1
acariciando,0,0,0,0,0,0,0,0,0,0,0
ácaro,0,1,0,0,1,0,0,0,0,0,1
acaso,0,0,0,0,0,0,0,0,1,0,1
aceita,1,0,0,0,0,0,0,0,0,0,1
aceitação,1,0,0,0,0,0,0,0,0,0,1
aceitar,0,0,0,0,0,0,0,0,0,0,0
aceitável,1,0,0,0,0,0,0,0,0,0,1
aceleração,0,0,0,0,0,0,0,0,0,0,0
acelerado,0,0,0,0,0,0,0,0,0,0,0
acelerador,0,1,1,0,0,0,0,0,0,0,1
acelerar,0,0,0,1,0,0,0,0,0,0,1
acender,0,0,0,0,0,0,0,0,0,0,0
aceno com a cabeça,0,0,0,0,0,0,0,0,0,0,0
acentuar,0,0,0,0,0,0,0,0,0,0,0
acertar,0,1,1,0,0,0,0,0,0,0,1
acessível,1,0,0,0,0,0,0,0,0,0,1
acesso,0,0,0,0,0,0,0,0,0,0,0
acessório,0,0,0,0,0,0,0,0,0,0,0
acessórios,0,0,0,0,0,0,0,0,0,0,0
acessos,0,0,0,0,0,0,0,0,0,0,0
acético,0,0,0,0,0,0,0,0,0,0,0
acho,0,0,0,0,0,0,0,0,1,0,1
acidental,0,1,0,0,0,1,0,0,1,0,1
acidentalmente,0,0,0,0,0,0,0,0,1,0,1
acidente,0,1,0,0,0,1,0,1,1,0,1
acidez,0,0,0,0,0,0,0,0,0,0,0
ácido,0,1,0,0,0,0,0,0,0,0,1
acima expostos,1,0,0,0,0,0,0,0,0,0,1
acima mencionado,0,0,0,0,0,0,0,0,0,0,0
acionado,1,0,0,1,0,0,1,0,0,1,1
acionável,0,1,1,0,1,0,0,0,0,0,1
acionista,0,0,0,0,0,0,0,0,0,0,0
acme,0,0,0,0,0,0,0,0,0,0,0
aço,0,0,0,0,0,0,0,0,0,0,0
ações,0,0,0,0,0,0,0,0,0,0,0
açoitar,0,1,1,0,1,1,0,1,0,0,1
acolhedor,1,0,0,0,0,0,0,0,0,0,1
acometido,0,0,0,0,0,0,0,1,0,0,1
acomodar,0,0,0,0,0,0,0,0,0,0,0
acompanhamento,1,0,0,1,0,0,1,0,0,1,1
acompanhando,0,0,0,0,0,0,0,0,0,0,0
acompanhar,0,0,0,0,0,0,0,0,0,0,0
aconselhado,0,0,0,0,0,0,0,0,0,1,1
aconselhamento,0,0,0,0,0,0,0,0,0,0,0
aconselhar,1,0,0,0,0,0,0,0,0,1,1
aconselhável,1,0,0,0,0,0,0,0,0,1,1
acontecendo,0,0,0,0,0,0,0,0,0,0,0
acontecer,0,0,0,1,0,0,0,0,0,0,1
acoplado,0,0,0,0,0,0,0,0,0,0,0
acorde,0,0,0,0,0,0,0,0,0,0,0
acordeão,0,0,0,0,0,0,0,0,0,0,0
acordes,0,0,0,0,0,0,0,0,0,0,0
acordo,1,0,0,1,0,0,1,0,1,1,1
acostumado,0,0,0,0,0,0,0,0,0,0,0
açougueiro,0,1,1,0,1,1,0,0,0,0,1
acreção,0,0,0,0,0,0,0,0,0,0,0
acreditando,1,0,0,0,0,0,0,0,0,1,1
acreditava,0,0,0,0,0,0,0,0,0,1,1
acres,0,0,0,0,0,0,0,0,0,0,0
acrescentar,0,0,0,0,0,0,0,0,0,0,0
acréscimo,1,0,0,0,0,0,0,0,0,0,1
acrítico,0,0,0,0,0,0,0,0,0,0,0
acrobata,1,0,0,0,0,1,1,0,0,1,1
açúcar,1,0,0,0,0,0,0,0,0,0,1
acuidade,1,0,0,0,0,0,0,0,0,0,1
acumulação,0,0,0,0,0,0,0,0,0,0,0
acumular,0,0,0,0,0,0,0,0,0,0,0
acupuntura,0,0,0,0,0,0,0,0,0,0,0
acusação,0,1,1,0,1,1,0,1,0,0,1
acusado,0,1,1,0,0,1,0,0,0,0,1
acusador,0,1,1,0,0,1,0,0,0,0,1
acusando,0,1,1,0,0,1,0,0,0,0,1
acusar,0,1,1,0,0,1,0,0,0,0,1
acusativo,0,1,0,0,0,0,0,0,0,0,1
acústica,0,0,0,0,0,0,0,0,0,0,0
acústico,0,0,0,0,0,0,0,0,0,0,0
adágio,0,0,0,0,0,0,0,0,0,0,0
adaptar,1,0,0,0,0,0,0,0,0,0,1
adaptável,1,0,0,0,0,0,0,0,0,0,1
adepto,1,0,0,0,0,0,0,0,0,0,1
adequação,1,0,0,0,0,0,0,0,0,0,1
adequado,1,0,0,0,0,0,0,0,0,0,1
aderência,0,0,0,0,0,0,0,0,0,0,0
aderente,0,0,0,0,0,0,0,0,0,0,0
aderindo,0,0,0,0,0,0,0,0,0,1,1
aderir,0,0,0,0,0,0,0,0,0,0,0
adesão,0,0,0,0,0,0,0,0,0,0,0
adesivo,0,0,0,0,0,0,0,0,0,0,0
adiado,0,0,0,0,0,0,0,0,0,0,0
adiamento,0,1,0,0,0,0,0,0,0,0,1
adiantamento,0,0,0,0,0,0,0,0,0,0,0
adiante,1,0,0,0,0,0,0,0,0,0,1
adiar,0,0,0,0,0,0,0,0,0,0,0
adição,0,0,0,0,0,0,0,0,0,0,0
adicionado,0,0,0,0,0,0,0,0,0,0,0
adicionador,0,1,1,0,1,1,0,1,0,0,1
adicional,0,0,0,0,0,0,0,0,0,0,0
adicionar,0,0,0,0,0,0,0,0,0,0,0
adieu,0,0,0,0,0,0,0,0,0,0,0
adiposo,0,1,0,0,0,0,0,0,0,0,1
aditivo,0,0,0,0,0,0,0,0,0,0,0
adivinhação,0,0,0,1,0,0,0,0,0,0,1
adjacência,0,0,0,0,0,0,0,0,0,0,0
adjacente,0,0,0,0,0,0,0,0,0,0,0
adjetivo,0,0,0,0,0,0,0,0,0,0,0
adjudicação,0,0,0,0,0,0,0,0,0,0,0
adjunto,1,0,0,0,0,0,0,0,0,0,1
adjuvante,0,0,0,0,0,0,0,0,0,0,0
administração,0,0,0,0,0,0,0,0,0,0,0
administrador,0,0,0,0,0,0,0,0,0,1,1
administrativo,0,0,0,0,0,0,0,0,0,1,1
admiração,1,0,0,0,0,0,1,0,0,1,1
admirado,0,0,0,0,0,0,0,0,0,0,0
admirador,1,0,0,0,0,0,0,0,0,0,1
admirar,1,0,0,0,0,0,0,0,0,1,1
admirável,1,0,0,0,0,0,1,0,0,1,1
admissão,0,0,0,0,0,0,0,0,0,0,0
admissibilidade,0,0,0,0,0,0,0,0,0,0,0
admissível,1,0,0,0,0,0,0,0,0,1,1
admitem,0,0,0,0,0,0,0,0,0,0,0
admitindo,0,0,0,0,0,0,0,0,0,0,0
admitiu,0,0,0,0,0,0,0,0,0,0,0
admoestação,0,1,0,0,0,1,0,0,0,0,1
ado,0,0,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0,0
adoçado,0,0,0,0,0,0,0,0,0,0,0
adoçante,0,0,0,0,0,0,0,0,0,0,0
adoção,0,0,0,0,0,0,0,0,0,0,0
adoçar,0,0,0,0,0,0,0,0,0,0,0
adolescência,0,0,0,0,0,0,0,0,0,0,0
adolescente,0,0,0,0,0,0,0,0,0,0,0
adolescentes,1,1,0,0,0,0,0,0,0,0,1
adoração,1,0,0,0,0,0,1,0,0,1,1
adorar,1,0,0,1,0,0,1,0,0,1,1
adorável,1,0,0,0,0,0,1,0,0,0,1
adormecido,0,0,0,0,0,0,0,0,0,0,0
adornar,0,0,0,0,0,0,0,0,0,0,0
adorno,0,0,0,0,0,0,0,0,0,0,0
adotar,0,0,0,0,0,0,0,0,0,0,0
adquirindo,1,0,0,1,0,0,0,0,0,0,1
adquirir,1,0,0,0,0,0,0,0,0,0,1
adstringente,0,1,0,0,0,0,0,0,0,0,1
adulterado,0,1,0,0,0,0,0,0,0,0,1
adultério,0,1,0,0,1,0,0,1,0,0,1
adulto,0,0,0,0,0,0,0,0,0,0,0
advento,1,0,0,1,0,0,1,0,0,1,1
adversário,0,1,1,0,0,0,0,0,0,0,1
adversidade,0,1,1,0,0,1,0,1,0,0,1
adverso,0,1,1,0,0,0,0,0,0,0,1
advertência,0,0,0,0,0,1,0,0,0,0,1
advertir,0,1,0,1,0,1,0,0,1,1,1
advinhação,0,0,0,0,0,0,0,0,0,0,0
advocacia,1,0,1,1,0,0,1,0,0,1,1
advogado,0,1,1,0,1,1,0,0,0,0,1
aeração,0,0,0,0,0,0,0,0,0,0,0
aéreo,0,0,0,0,0,0,0,0,0,0,0
aerodeslizador,0,0,0,0,0,0,0,0,0,0,0
aerodinâmica,0,0,0,0,0,0,0,0,0,0,0
aeródromo,0,0,0,0,0,0,0,0,0,0,0
aeronáutica,0,0,0,0,0,0,0,0,0,0,0
aeroporto,0,0,0,1,0,0,0,0,0,0,1
afastado,0,1,0,0,0,0,0,0,0,0,1
afável,1,0,0,0,0,0,0,0,0,0,1
afecções,0,0,0,0,0,0,0,0,0,0,0
afeição,1,0,0,0,0,0,1,0,0,1,1
afetando,0,0,0,0,0,0,0,0,0,0,0
afeto,1,0,0,0,0,0,0,0,0,0,1
afiação,0,0,0,0,0,0,0,0,0,0,0
afiado,0,0,0,0,0,0,0,0,0,0,0
afiador,0,0,0,0,0,0,0,0,0,0,0
afiliação,0,0,0,0,0,0,0,0,0,0,0
afiliado,1,0,0,0,0,0,0,0,0,0,1
afinação,0,0,0,0,0,0,0,0,0,0,0
afinidade,0,0,0,0,0,0,0,0,0,0,0
afirmação,1,0,0,0,0,0,0,0,0,0,1
afirmando,1,0,0,0,0,0,0,0,0,1,1
afirmar,1,0,0,0,0,0,0,0,0,1,1
afirmativamente,1,0,0,0,0,0,0,0,0,1,1
afirmativo,1,0,0,0,0,0,0,0,0,0,1
afixo,0,0,0,0,0,0,0,0,0,0,0
aflição,0,1,1,0,1,1,0,1,1,0,1
afligido,0,1,0,0,0,0,0,0,0,0,1
afligir,0,1,0,0,0,1,0,1,0,0,1
aflitivo,0,1,1,0,0,1,0,0,0,0,1
afluência,1,0,0,0,0,0,1,0,0,0,1
afluente,1,0,0,0,0,0,0,0,0,0,1
afogar,0,1,0,0,0,1,0,1,0,0,1
afortunado,1,0,0,0,0,0,0,0,0,0,1
afronta,0,1,1,0,1,1,0,1,1,0,1
afrouxamento,0,0,0,0,0,0,0,0,0,0,0
afrouxar,0,0,0,0,0,0,0,0,0,0,0
afundado,0,1,0,0,1,1,0,1,0,0,1
afunilando,0,0,0,0,0,0,0,0,0,0,0
agachado,0,1,0,0,0,1,0,0,0,0,1
agachamento,0,0,0,0,0,0,0,0,0,0,0
agachar,0,0,0,0,0,1,0,0,0,0,1
agarrando,0,1,0,1,0,0,0,0,0,0,1
agarrar,0,1,1,0,0,0,0,0,0,0,1
ágata,0,0,0,0,0,0,0,0,0,0,0
agência,0,0,0,0,0,0,0,0,0,0,0
agente,0,0,0,0,0,0,0,0,0,0,0
agente funerário,0,0,0,0,0,0,0,1,0,0,1
ágil,1,0,0,0,0,0,0,0,0,0,1
agilidade,1,0,0,0,0,0,0,0,0,0,1
agindo,0,0,0,0,0,0,0,0,0,0,0
agitação,0,1,1,0,0,0,0,0,0,0,1
agitado,0,1,1,0,0,0,0,0,0,0,1
aglomeração,0,0,0,0,0,0,0,0,0,0,0
aglomerado,0,1,0,0,0,0,0,0,0,0,1
agnóstico,0,0,0,0,0,0,0,0,0,0,0
agonia,0,1,1,0,0,1,0,1,0,0,1
agonizante,0,1,0,0,0,1,0,0,0,0,1
agosto,1,0,0,0,0,0,0,0,0,0,1
agradável,1,0,0,0,0,0,0,0,0,1,1
agravado,0,1,1,0,0,0,0,0,0,0,1
agravamento,0,1,1,0,1,0,0,0,0,0,1
agravante,0,1,1,0,0,0,0,1,0,0,1
agregação,0,0,0,0,0,0,0,0,0,0,0
agregar,0,0,0,0,0,0,0,0,0,0,0
agressão,0,1,1,0,0,1,0,0,0,0,1
agressivo,0,1,1,0,0,1,0,0,0,0,1
agressor,0,1,1,0,0,1,0,0,0,0,1
agrícola,0,0,0,0,0,0,0,0,0,0,0
agricultor,0,0,0,0,0,0,0,0,0,0,0
agricultura,1,0,0,0,0,0,0,0,0,0,1
agrupamento,0,0,0,0,0,0,0,0,0,0,0
agrupar,0,0,0,0,0,0,0,0,0,0,0
água,0,0,0,0,0,0,0,0,0,0,0
aguaceiro,0,0,0,0,0,0,0,0,0,0,0
aguardam,0,0,0,1,0,0,0,0,0,0,1
aguarde,0,0,0,0,0,0,0,0,0,0,0
aguçar,0,0,1,1,0,0,0,0,0,0,1
agudamente,0,0,0,0,0,0,0,0,0,0,0
agudos,0,0,0,0,0,0,0,0,0,0,0
aguentar,0,0,0,0,0,0,0,0,0,0,0
águia,0,0,0,0,0,0,0,0,0,1,1
agulha,1,0,0,0,0,0,0,0,0,0,1
airbag,0,0,0,0,0,0,0,0,0,0,0
aja,0,0,0,0,0,0,0,0,0,0,0
ajoelhando-se,0,0,0,0,0,0,0,0,0,0,0
ajoelhar,0,0,0,0,0,0,0,0,0,0,0
ajuda,1,0,0,0,0,0,0,0,0,0,1
ajudante,1,0,0,0,0,0,0,0,0,1,1
ajudar,1,0,0,0,0,0,0,0,0,1,1
ajustamento,0,0,0,0,0,0,0,0,0,0,0
ajustar,0,0,0,0,0,0,0,0,0,0,0
ajustável,0,0,0,0,0,0,0,0,0,0,0
ajustes,0,0,0,0,0,0,0,0,0,0,0
alabastro,1,0,0,0,0,0,0,0,0,0,1
alado,0,0,0,0,0,0,0,0,0,0,0
alargamento,0,0,0,0,0,0,0,0,0,0,0
alarmante,0,1,0,0,0,1,0,0,1,0,1
alarme,0,1,0,0,0,1,0,0,1,0,1
alaúde,0,0,0,0,0,0,0,0,0,0,0
alavanca,0,0,0,0,0,0,0,0,0,0,0
alavancagem,1,0,0,0,0,0,0,0,0,0,1
álbum,0,0,0,0,0,0,0,0,0,0,0
alça,0,0,0,0,0,0,0,0,0,0,0
alcachofra,0,0,0,0,0,0,0,0,0,0,0
alcalino,0,0,0,0,0,0,0,0,0,0,0
alcalóides,0,0,0,0,0,0,0,0,0,0,0
alcançar,1,0,0,0,0,0,1,0,0,1,1
alcance,0,0,0,0,0,0,0,0,0,0,0
alçapão,0,1,0,0,0,0,0,1,0,0,1
alcaparra,0,0,0,0,0,0,0,0,0,0,0
alcatrão,0,0,0,0,0,0,0,0,0,0,0
alce,0,0,0,0,0,0,0,0,0,0,0
álcool,0,0,0,0,0,0,0,0,0,0,0
alcoolismo,0,1,1,0,1,1,0,1,0,0,1
alcova,0,0,0,0,0,0,0,0,0,0,0
aldeão,1,0,0,0,0,0,0,0,0,1,1
aleatoriamente,0,0,0,0,0,0,0,0,1,0,1
aleatoriedade,0,0,0,0,0,0,0,0,0,0,0
alecrim,0,0,0,0,0,0,0,0,0,0,0
alegação,0,1,1,0,0,0,0,0,0,0,1
alegado,0,0,0,0,0,0,0,0,0,0,0
alegar,0,1,0,0,0,0,0,0,0,0,1
alegoria,0,0,0,0,0,0,0,0,0,0,0
alegórico,0,0,0,0,0,0,0,0,0,0,0
alegrar,1,0,0,1,0,0,1,0,1,1,1
alegre,1,0,0,0,0,0,1,0,0,0,1
alegremente,1,0,0,0,0,0,1,0,0,0,1
alegria,1,0,0,1,0,0,1,0,1,1,1
aleijado,0,1,0,0,0,0,0,1,0,0,1
alemão,0,0,0,0,0,0,0,0,0,0,0
alerta,0,0,0,0,0,0,0,0,0,0,0
alertas,0,0,0,1,0,1,0,0,1,0,1
alfabética,0,0,0,0,0,0,0,0,0,0,0
alfabeto,0,0,0,0,0,0,0,0,0,0,0
alface,0,0,0,0,0,0,0,0,0,0,0
alfafa,0,0,0,0,0,0,0,0,0,0,0
alfaiate,0,0,0,0,0,0,0,0,0,0,0
algazarra,0,1,1,0,0,1,0,0,1,0,1
álgebra,0,0,0,0,0,0,0,0,0,0,0
algébrico,0,0,0,0,0,0,0,0,0,0,0
algodão,0,0,0,0,0,0,0,0,0,0,0
algoritmo,0,0,0,0,0,0,0,0,0,0,0
alho,0,0,0,0,0,0,0,0,0,0,0
aliado,1,0,0,0,0,0,0,0,0,1,1
aliança,1,0,0,0,0,0,0,0,0,1,1
aliar,1,0,0,0,0,0,0,0,0,1,1
aliás,0,0,0,0,0,0,0,0,0,0,0
álibi,0,0,0,0,0,0,0,0,0,0,0
alicate,0,0,0,0,0,0,0,0,0,0,0
alienação,0,1,1,0,1,1,0,1,0,0,1
alienado,0,1,0,0,0,0,0,1,0,0,1
alienar,0,1,1,0,1,0,0,0,0,0,1
alimentação,1,0,0,0,0,0,0,0,0,0,1
alimentador,0,0,0,0,0,0,0,0,0,0,0
alinhado,0,0,0,0,0,0,0,0,0,0,0
alinhamento,0,0,0,0,0,0,0,0,0,0,0
alíquota,0,0,0,0,0,0,0,0,0,0,0
alista,0,0,0,0,0,0,0,0,0,0,0
aliviando,1,0,0,0,0,0,0,0,0,0,1
aliviar,1,0,0,0,0,0,0,0,0,0,1
alívio,1,0,0,0,0,0,0,0,0,0,1
alma gêmea,0,1,0,0,0,1,0,0,0,0,1
alma penada,0,1,1,0,1,1,0,1,0,0,1
almanaque,0,0,0,0,0,0,0,0,0,0,0
almejar,0,0,0,1,0,0,0,0,0,0,1
almirante,1,0,0,0,0,0,0,0,0,1,1
almíscar,0,0,0,0,0,0,0,0,0,0,0
almoço,0,0,0,0,0,0,0,0,0,0,0
almofada,1,0,0,0,0,0,0,0,0,0,1
alocação,0,0,0,0,0,0,0,0,0,0,0
aloha,1,0,0,1,0,0,1,0,0,0,1
alojamento,1,0,0,0,0,0,0,0,0,1,1
alongado,0,0,0,0,0,0,0,0,0,0,0
alongamento,0,0,0,0,0,0,0,0,0,0,0
alongar,0,0,0,0,0,0,0,0,0,0,0
alpinista,0,0,0,0,0,0,0,0,0,0,0
alqueire,0,0,0,0,0,0,0,0,0,0,0
alquimia,0,0,0,0,0,0,0,0,0,0,0
alta,0,0,0,0,0,0,0,0,0,0,0
altaneiro,1,0,0,1,0,1,0,0,0,0,1
altar,0,0,0,0,0,0,0,0,0,0,0
alteração,0,0,0,0,0,0,0,0,0,0,0
alterado,0,0,0,0,0,0,0,0,0,0,0
alterar,1,0,0,0,0,0,0,0,0,0,1
altercação,0,1,1,0,0,0,0,0,0,0,1
alternar,0,0,0,0,0,0,0,0,0,0,0
alternativa,0,0,0,0,0,0,0,0,0,0,0
altitude,0,0,0,0,0,0,0,0,0,0,0
altivo,0,1,1,0,0,0,0,0,0,0,1
alto,0,1,0,0,0,0,0,0,0,0,1
alto falante,0,0,0,0,0,0,0,0,0,0,0
altruísta,1,0,0,0,0,0,0,0,0,0,1
altura,0,0,0,0,0,0,0,0,0,0,0
alucinação,0,1,0,0,0,1,0,0,0,0,1
aluguel,0,0,0,0,0,0,0,0,0,0,0
aluna,0,0,0,0,0,0,0,0,0,0,0
aluno,0,0,0,0,0,0,0,0,0,0,0
alusão,0,0,0,0,0,0,0,0,0,0,0
aluvial,0,0,0,0,0,0,0,0,0,0,0
alvejante,0,0,0,0,0,0,0,0,0,0,0
alvenaria,0,0,0,0,0,0,0,0,0,0,0
alveolar,0,0,0,0,0,0,0,0,0,0,0
alvo,0,0,0,0,0,0,0,0,0,0,0
alvorecer,1,0,0,1,0,0,1,0,1,1,1
amada,1,0,0,1,0,0,1,1,0,1,1
amado,1,0,0,1,0,0,1,0,0,1,1
amador,0,0,0,0,0,0,0,0,0,0,0
amadurecer,1,0,0,1,0,0,0,0,0,0,1
amadurecimento,0,0,0,0,0,0,0,0,0,0,0
âmago,1,0,0,0,0,0,0,0,0,1,1
amaldiçoado,0,1,1,0,0,1,0,1,0,0,1
amaldiçoar,0,1,1,0,1,0,0,0,0,0,1
amálgama,0,0,0,0,0,0,0,0,0,0,0
amalgamação,0,0,0,0,0,0,0,0,0,0,0
amamentando,0,0,0,0,0,0,0,0,0,0,0
amanhã,0,0,0,1,0,0,0,0,0,0,1
amante,0,1,1,0,1,0,0,0,0,0,1
amanteigado,1,0,0,0,0,0,0,0,0,0,1
amarelo,0,0,0,0,0,0,0,0,0,0,0
amarelos,0,1,0,0,0,0,0,0,0,0,1
amargamente,0,1,1,0,1,0,0,1,0,0,1
amargura,0,1,1,0,1,0,0,1,0,0,1
amarra,0,1,0,0,0,0,0,0,0,0,1
amarração,0,0,0,0,0,0,0,0,0,0,0
amarrado,0,0,0,0,0,0,0,0,0,0,0
amarras,0,0,0,0,0,0,0,0,0,1,1
amassar,0,0,0,0,0,0,0,0,0,0,0
amável,1,0,0,1,0,0,1,1,1,1,1
âmbar,0,0,0,0,0,0,0,0,0,0,0
ambição,1,0,0,1,0,0,1,0,0,1,1
ambicioso,0,0,0,0,0,0,0,0,0,0,0
ambiente,0,0,0,0,0,0,0,0,0,0,0
ambiente de trabalho,0,0,0,0,0,0,0,0,0,0,0
ambiguidade,0,0,0,0,0,0,0,0,0,0,0
ambíguo,0,1,0,0,0,0,0,0,0,0,1
âmbito,0,0,0,0,0,0,0,0,0,0,0
ambulância,0,0,0,0,0,1,0,0,0,1,1
ameaça,0,1,1,0,0,1,0,0,0,0,1
ameaçadas de extinção,0,1,0,0,0,1,0,0,0,0,1
ameaçador,0,1,1,0,0,1,0,0,0,0,1
ameaçar,0,1,1,1,0,1,0,0,0,0,1
amedrontar,0,1,0,0,0,1,0,1,1,0,1
ameixa,1,0,0,0,0,0,0,0,0,0,1
ameixa seca,0,0,0,0,0,0,0,0,0,0,0
amém,1,0,0,0,0,0,1,0,0,1,1
amenidade,1,0,0,0,0,0,0,0,0,0,1
amenizar,1,0,0,0,0,0,0,0,0,0,1
ametista,0,0,0,0,0,0,0,0,0,0,0
amido,0,0,0,0,0,0,0,0,0,0,0
amido de milho,0,0,0,0,0,0,0,0,0,0,0
amigáveis,1,0,0,1,0,0,1,0,0,1,1
amigável,1,0,0,0,0,0,1,0,0,0,1
amígdalas,0,0,0,0,0,0,0,0,0,0,0
amigo,0,0,0,0,0,0,0,0,0,0,0
amigos,1,0,0,0,0,0,1,0,0,1,1
amizade,1,0,0,0,0,0,1,0,0,1,1
amnésia,0,1,0,0,0,0,0,0,0,0,1
